TechnicalDescription,failure_reason
Direct Mapping to CaseTransferReason column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to ParentRequestId column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to AssignedToAssignedCount column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to Theme column in WorkHistorySupportTickets intermediate table source having String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct mapping to ResolveDate column in IncidentsSnapshotV2 table from ICMDataWarehouse source having  Timestamp(UTC) values.,Missing source info
Direct Mapping to UpdatedAttributes column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CustomerFeedbackDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on RouteDateTime and CreateDateTime columns in SupportRequestDetailsSIPv2 Table  loaded  from Rave data processed by Amplify source.
Logic: We take minutes difference between RouteDateTime and CreateDateTime columns.",Transformation logic
"Derived by applying decode logic on Id and TaskType columns in PhoneInteraction table coming from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='PhoneInteraction'.
Step2- If TaskIdCount coming from step 1 is NULL, it replaces it with 0 END AS PhoneInteractions.",Transformation logic
Direct Mapping to EnqueuedTimeUtc  column in SlaItem table coming from DFM Events data processed by Cornerstone having timestamp values in UTC. ,Missing source info
Direct Mapping to CustomerProgramPriority column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to CaseNumber column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on StateAnnotation, DynamicsStatus, EventDateTime and ActiveSystem columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE WHEN ActiveSystem = 'dynamics' AND EventDateTime greater than or equal to  '2022-02-21' THEN DynamicsStatus ELSE StateAnnotation END AS ServiceRequestStatus",Transformation logic
Direct Mapping to EnqueuedTimeUtc column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to SLAStartDateTime column in SLAEvents table coming from DFM Events data processed by Cornerstone source having Timestamp(UTC)values.,Missing source info
Direct Mapping to CustomerContactedDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
Direct Mapping to ServiceOfferingLevel1 column in DimServiceOfferingMaster table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to TeamId column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
