,,,,,,L1 Review,,L2 Review,,L3: IAR Review,,,Purview Upload,,,
Vanilla DB Name DBName,EntityName,AttributeName,TechnicalDescription,Dev Name,Dev Comment,L1 Review Comment,L1 ReviewerName,L2 Review Comment,L2 ReviewerName,Review Comment L3,L3Status (ActionOnDev/Done),L3ReviewerName,Shared With Framework,Uploaded To Purview,Entity/Attribute Desc,
udpmlgcs,vwdimagentrootcausetaxonomy,,This table contains details for issue and resolution selected by agent at various levels coming from UDPCommercial (DFM source). It is derived from DimSupportTopic DimSupportServiceRequest based on Rootcause.,KB,updated as per L2 comment,,Sundar,Ok,Davitt,ok,,,,,Entity,
udpmlgcs,vwdimagentrootcausetaxonomy,AgentRootCauseTaxonomyKey,Surrogate key  generated on  SupportTopicFullPath  column coming  from DimSupportTopic in SA&DP Commercial source.,Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause,Direct mapping to column SupportTopicFullPath coming from table DimSupportTopic in SA&DP Commercial source,Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause1,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
step2: splitting the first position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause1 is 'zzRoot Cause: Surface Hub 2S  old'",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause2,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
step2: splitting the second position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause2 is 'Technical'",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause3,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the third position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause3 is 'Personal Sign-In'",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause4,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 4th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause4 is 'My Files'.",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause5,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 5th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause5 is 'Meetings'.",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause6,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 5th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause6 is 'Configuration Issue'.",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimagentrootcausetaxonomy,RootCause7,"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 7th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause7 is 'Unspecified'.",Sahithya,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwdimservicerequestresolution,,This table contains the details for case resolution status of the ticket coming from Dynamics and Amplify source. Grain- ServiceRequestResolution,Arkes,Updated as per L3 comment,,Sundar,OK,Davitt,"Add the source and source table names and grain. 
If the list is big then mention just the source name and grain.",,Himanshu,,,Entity,
udpmlgcs,vwdimservicerequestresolution,ServiceRequestResolutionKey,"Surrogate Key generated in UDP for 'ServiceRequestResolution' column  from Rave (Amplify),Cornerstone(DFC - Dynamics For Consumer) sources.",KB,,,Sundar,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimservicerequestresolution,ServiceRequestResolution,"Direct mapping to distinct values of 'ServiceRequestResolution' column from Rave,cornerstone sources",KB,,,Sundar,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimservicerequestresolution,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,KB,,,Sundar,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwdimservicerequestresolution,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,KB,,,Sundar,Ok,Davitt,ok,Ok,Himanshu,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,,"This table contains Online Safety Team Queues, Online Safety - T1, Online Safety - T2 Manilla, Online Safety - T3, DMCA - T1 Allyis, DMCA - T2 Allyis.",KB,this is just a online safety queue table not built on any fact table,,Sundar,Ok - I am guessing this I some type of ticket table specfic to a tool used by online safety,Davitt,ok,,,,,Entity,
udpmlgcs,vwrptcprosnowonlinesafetycases,AgentContentClassification,Direct mapping to AgentContentClassification column having string values coming from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,Assignedto,Direct mapping to Assignedto column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,AssignedGroup,Direct mapping to AssignedGroup column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,ClosedBy,Direct mapping to ClosedBy column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,CSAMRating,Direct mapping to CSAMRating column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,CustomerIndication,Direct mapping to CustomerIndication column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,CustomerSelection,Direct mapping to CustomerSelection column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Sundar,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,DateAcknowledged,Direct mapping to DateAcknowledged column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,DateClosed,Direct mapping to DateClosed column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,DateCreated,Direct mapping to DateCreated column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,Number,Direct mapping to Number column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,NumberofItemsInvestigated,Direct mapping to NumberofItemsInvestigated column having integer values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,NumberofItemsActioned,Direct mapping to NumberofItemsActioned column having integer values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,OnlineSafetyAction,Direct mapping to OnlineSafetyAction column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,ParentCaseNumber,Direct mapping to ParentCaseNumber column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,ProductCategory,Direct mapping to ProductCategory column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,Status,Direct mapping to Status column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,SubjectCountry,Direct mapping to SubjectCountry column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,SubState,Direct mapping to SubState column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,Tags,Direct mapping to Tags column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,TimeWorked,Direct mapping to TimeWorked column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,UpdatedBy,Direct mapping to UpdatedBy column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source..,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,UpdatedOn,Direct mapping to UpdatedOn column having timestamp values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,AutoHandled,"Derived by applying decode logic on ClosedBy, DateClosed and DateCreated columns coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.",KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,WorkMinutes,"Derived by applying decode logic on TimeWorked column coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.
Logic: Converted TimeWorked column having string values to decimal(10,2) to get WorkMinutes by use of cast function like:
TimeWorked.cast(DecimalType(10, 2))",KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
udpmlgcs,vwrptcprosnowonlinesafetycases,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,KB,,,Meenakshi,Ok,Davitt,ok,,,,,Attribute,
