,L1 Review,L2 Review,L3: IAR Review,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
This table contains details for issue and resolution selected by agent at various levels coming from UDPCommercial (DFM source). It is derived from DimSupportTopic DimSupportServiceRequest based on Rootcause.,,Ok,ok,
Surrogate key  generated on  SupportTopicFullPath  column coming  from DimSupportTopic in SA&DP Commercial source.,,Ok,ok,
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,ok,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,ok,
Direct mapping to column SupportTopicFullPath coming from table DimSupportTopic in SA&DP Commercial source,,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
step2: splitting the first position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause1 is 'zzRoot Cause: Surface Hub 2S  old'",,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
step2: splitting the second position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause2 is 'Technical'",,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the third position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-In"" then RootCause3 is 'Personal Sign-In'",,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 4th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
example : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause4 is 'My Files'.",,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 5th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause5 is 'Meetings'.",,Ok,ok,
